Date,Power (kW) [Y]
2017-11-01 00:00:00,825.0
2017-11-01 01:00:00,815.0
2017-11-01 02:00:00,797.0
2017-11-01 03:00:00,790.0
2017-11-01 04:00:00,757.0
2017-11-01 05:00:00,741.0
2017-11-01 06:00:00,760.0
2017-11-01 07:00:00,818.0
2017-11-01 08:00:00,1004.0
2017-11-01 09:00:00,1003.0
2017-11-01 10:00:00,1050.0
2017-11-01 11:00:00,1076.0
2017-11-01 12:00:00,1072.0
2017-11-01 13:00:00,1100.0
2017-11-01 14:00:00,1095.0
2017-11-01 15:00:00,1139.0
2017-11-01 16:00:00,1168.0
2017-11-01 17:00:00,1150.0
2017-11-01 18:00:00,1120.0
2017-11-01 19:00:00,961.0
2017-11-01 20:00:00,883.0
2017-11-01 21:00:00,850.0
2017-11-01 22:00:00,854.0
2017-11-01 23:00:00,834.0
2017-11-02 00:00:00,805.0
2017-11-02 01:00:00,790.0
2017-11-02 02:00:00,791.0
2017-11-02 03:00:00,763.0
2017-11-02 04:00:00,750.0
2017-11-02 05:00:00,758.0
2017-11-02 06:00:00,841.0
2017-11-02 07:00:00,1426.0
2017-11-02 08:00:00,1732.0
2017-11-02 09:00:00,2002.0
2017-11-02 10:00:00,2249.0
2017-11-02 11:00:00,2353.0
2017-11-02 12:00:00,2360.0
2017-11-02 13:00:00,2315.0
2017-11-02 14:00:00,2466.0
2017-11-02 15:00:00,2464.0
2017-11-02 16:00:00,2326.0
2017-11-02 17:00:00,2086.0
2017-11-02 18:00:00,1816.0
2017-11-02 19:00:00,1481.0
2017-11-02 20:00:00,1196.0
2017-11-02 21:00:00,1028.0
2017-11-02 22:00:00,958.0
2017-11-02 23:00:00,926.0
2017-11-03 00:00:00,865.0
2017-11-03 01:00:00,823.0
2017-11-03 02:00:00,804.0
2017-11-03 03:00:00,789.0
2017-11-03 04:00:00,776.0
2017-11-03 05:00:00,779.0
2017-11-03 06:00:00,843.0
2017-11-03 07:00:00,1358.0
2017-11-03 08:00:00,1684.0
2017-11-03 09:00:00,1971.0
2017-11-03 10:00:00,2207.0
2017-11-03 11:00:00,2327.0
2017-11-03 12:00:00,2308.0
2017-11-03 13:00:00,2290.0
2017-11-03 14:00:00,2333.0
2017-11-03 15:00:00,2303.0
2017-11-03 16:00:00,2188.0
2017-11-03 17:00:00,1928.0
2017-11-03 18:00:00,1658.0
2017-11-03 19:00:00,1328.0
2017-11-03 20:00:00,1075.0
2017-11-03 21:00:00,937.0
2017-11-03 22:00:00,857.0
2017-11-03 23:00:00,832.0
2017-11-04 00:00:00,787.0
2017-11-04 01:00:00,763.0
2017-11-04 02:00:00,762.0
2017-11-04 03:00:00,746.0
2017-11-04 04:00:00,746.0
2017-11-04 05:00:00,742.0
2017-11-04 06:00:00,757.0
2017-11-04 07:00:00,923.0
2017-11-04 08:00:00,910.0
2017-11-04 09:00:00,986.0
2017-11-04 10:00:00,990.0
2017-11-04 11:00:00,952.0
2017-11-04 12:00:00,919.0
2017-11-04 13:00:00,919.0
2017-11-04 14:00:00,907.0
2017-11-04 15:00:00,934.0
2017-11-04 16:00:00,910.0
2017-11-04 17:00:00,890.0
2017-11-04 18:00:00,883.0
2017-11-04 19:00:00,850.0
2017-11-04 20:00:00,816.0
2017-11-04 21:00:00,789.0
2017-11-04 22:00:00,776.0
2017-11-04 23:00:00,772.0
2017-11-05 00:00:00,763.0
2017-11-05 01:00:00,767.0
2017-11-05 02:00:00,735.0
2017-11-05 03:00:00,709.0
2017-11-05 04:00:00,697.0
2017-11-05 05:00:00,697.0
2017-11-05 06:00:00,692.0
2017-11-05 07:00:00,674.0
2017-11-05 08:00:00,674.0
2017-11-05 09:00:00,693.0
2017-11-05 10:00:00,707.0
2017-11-05 11:00:00,715.0
2017-11-05 12:00:00,733.0
2017-11-05 13:00:00,726.0
2017-11-05 14:00:00,736.0
2017-11-05 15:00:00,744.0
2017-11-05 16:00:00,763.0
2017-11-05 17:00:00,775.0
2017-11-05 18:00:00,796.0
2017-11-05 19:00:00,781.0
2017-11-05 20:00:00,763.0
2017-11-05 21:00:00,732.0
2017-11-05 22:00:00,729.0
2017-11-05 23:00:00,711.0
2017-11-06 00:00:00,713.0
2017-11-06 01:00:00,704.0
2017-11-06 02:00:00,694.0
2017-11-06 03:00:00,689.0
2017-11-06 04:00:00,708.0
2017-11-06 05:00:00,707.0
2017-11-06 06:00:00,772.0
2017-11-06 07:00:00,1239.0
2017-11-06 08:00:00,1537.0
2017-11-06 09:00:00,1807.0
2017-11-06 10:00:00,2008.0
2017-11-06 11:00:00,2114.0
2017-11-06 12:00:00,2155.0
2017-11-06 13:00:00,2125.0
2017-11-06 14:00:00,2225.0
2017-11-06 15:00:00,2273.0
2017-11-06 16:00:00,2114.0
2017-11-06 17:00:00,1942.0
2017-11-06 18:00:00,1727.0
2017-11-06 19:00:00,1373.0
2017-11-06 20:00:00,1088.0
2017-11-06 21:00:00,936.0
2017-11-06 22:00:00,865.0
2017-11-06 23:00:00,817.0
2017-11-07 00:00:00,765.0
2017-11-07 01:00:00,765.0
2017-11-07 02:00:00,754.0
2017-11-07 03:00:00,742.0
2017-11-07 04:00:00,749.0
2017-11-07 05:00:00,767.0
2017-11-07 06:00:00,820.0
